Ind,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25
22,0.5816474005,3.865990001,0.7420120838,1,3.593573952,0.1789187534,0.7914895262,1.689067766,5,3.340564864,1.164400386,2.337123362,3.518500265,2.751330693,0.05876483761,3.196276142,3.796432059,0.5583565643,1.825780034,3.622720432,3.088387159,2.996477804,3.241660287,4.520073541,0.972908904
23,0.05836742359,8.818156944,3.172449941,1,1.928998273,4.802256422,2.400464602,4.020620398,5,0.4365793521,2.233350103,3.308252726,2.224816139,2.183615539,0.306522775,2.042248718,2.851175165,1.960244052,2.172415065,2.232618758,3.590284608,0.03886354907,0.3711072072,1.065412984,1.04785863
24,0.03842913002,4.378474713,2.816808256,1,4.672509133,2.455401756,3.666085595,4.909384575,5,1.411933585,1.364973022,1.678117529,0.5001744079,0.6050207655,2.240232164,0.9390977745,3.857740346,4.532547242,2.282632928,1.390612231,1.374946536,1.170285197,4.519700842,4.875018198,1.22843577
25,0.3831925105,6.034751164,2.787757499,1,3.072898314,1.044527696,0.5933576143,2.51676705,5,2.8788952,3.52268048,3.294084506,1.423587768,1.758601787,3.196642559,3.011300941,2.553890624,3.550249546,1.375945087,2.999916591,1.936568483,3.474085692,2.571205884,1.289197727,1.088023265
26,0.8360287781,7.163864666,3.53513335,1,1.848587696,4.00487006,4.06715762,0.02304212536,5,2.820289213,2.052415018,3.837575254,4.548138338,1.445339362,0.06783090745,0.1384051259,4.372652771,2.589247756,4.985642173,1.016372864,2.514415599,2.158962119,0.104900268,1.148771723,1.671087435
27,0.281084026,1.49113857,1.529242279,1,3.805179593,2.514092179,1.2567452,0.9854982802,5,0.7016009856,0.3875253408,2.083270407,3.506187322,1.678166541,1.159056476,1.172394989,1.864758437,2.363447711,0.123426663,4.202332147,1.725320683,0.537190521,3.259699345,4.033719233,4.719667839
28,0.5259584599,4.617248805,4.723813243,1,0.163690958,4.311855745,1.291042542,1.94336509,5,4.16104242,3.814678608,1.081529108,4.477574699,1.227660952,2.459813996,3.134884001,2.282015916,2.524622998,4.680413362,2.39186389,1.88896695,2.562116477,1.597023048,0.4223165715,1.680137529
29,0.6414164729,2.566524193,3.085661487,1,0.3365979438,3.578337705,4.957695528,3.910311731,5,2.851677104,3.319702873,3.547099525,4.65247937,3.242755483,3.416263923,3.880670143,3.071059176,3.924995284,3.98044713,2.081392188,0.5610744261,1.915124251,3.751240155,0.01846155185,3.971166589
30,0.3246682577,4.666468809,3.426455958,1,3.853706177,0.7390752711,1.598043975,0.9140576901,5,3.9170469,0.4486404518,3.486607037,3.287039968,1.84808617,2.024132636,1.754176901,0.5018879646,0.7362354445,1.568540392,1.071764981,3.267560466,4.812177089,0.4393052223,2.731149512,1.652796313
31,0.1762683378,0.1679440611,1.766986432,1,2.796075404,2.820498276,2.520880834,2.922897503,5,0.8685892309,0.9891550377,2.493355445,2.708729636,0.5076098844,3.669738349,3.515838539,4.163849947,2.868132892,2.692621087,1.316827742,4.888381187,2.311304622,2.223901899,2.6865462,0.5149717672
32,0.5135655789,9.393255493,3.630846791,1,4.858957545,2.776851854,4.981720178,1.372713872,5,0.06426417788,3.949164379,2.584561612,4.544765419,4.479489949,0.4334587563,4.981214607,4.976876668,4.139228021,4.824038528,0.5734288661,1.881255223,4.938187374,2.394006684,2.730670564,4.120255447
33,0.3373990806,5.527007681,0.6522065582,1,1.573094566,2.701240604,1.537329645,3.321185675,5,4.64864362,1.670332516,4.31919216,2.569535044,3.14625547,0.7348247954,2.181819813,2.497098385,2.48194073,3.306454722,2.372626158,2.839267042,4.498858635,3.515331524,0.322009238,2.690444064
34,0.03257896599,2.160289576,2.226154045,1,0.02434618438,0.04183607814,3.522956689,0.2306519557,5,2.419816591,1.322312493,4.426643831,3.544119479,1.735171274,1.551075007,2.263779393,0.2053876607,1.523946057,1.447826297,4.010778778,2.45669163,1.659592704,1.662245929,2.266939528,4.775262253
35,0.3724919107,3.718149117,3.898776792,1,0.9543427838,2.819575631,0.5457000515,1.81112349,5,0.8958319349,2.74591688,2.769205184,3.090507056,4.089804654,1.95834279,2.530004015,2.806866431,4.911156079,0.9079841887,3.285743883,2.319662079,2.028943636,2.653783891,0.1942084866,3.471539536
36,0.3101681881,3.496319721,1.21029405,1,0.4402710011,2.950093075,4.981122918,1.864922417,5,2.454360448,2.972587327,0.9699821574,3.38258233,0.3452753607,0.9340862859,4.258457145,4.770149943,0.6332931394,1.952537463,3.385033344,4.578129482,4.248827365,3.932989168,3.221348002,2.014139682
37,0.3551080472,0.8376285047,4.948310653,1,4.661424578,4.57714965,1.758267277,1.407454216,5,0.704594388,4.220823742,2.554914877,4.383464659,0.4263039617,1.415297859,4.265320692,3.512113209,1.168786878,1.411119095,3.616060912,3.916996988,2.5065772,3.801075989,4.401300354,3.650501755
38,0.628882143,3.818964742,1.359813885,1,2.600551209,1.362167956,3.518188193,4.815955402,5,0.1347547117,1.456310727,2.589665018,3.399949028,2.3222284,4.630432009,3.719754676,0.3506097863,1.804331397,1.485901734,4.056872216,4.431645853,3.270986833,0.1660687844,3.841914159,0.09749833595
39,0.7928224603,2.048066797,4.056864593,1,2.913876932,2.888118392,2.344158284,3.587109632,5,2.096473696,4.708744713,1.192901708,4.171965239,1.73315885,2.804709242,1.409136908,3.915601962,4.07642848,4.84864532,1.157956761,3.982058227,2.519084853,2.106050175,1.786583977,0.5566954722
40,0.4377824309,8.741794759,1.404162373,1,2.462125414,0.1777293061,3.454837228,2.171796572,5,0.855296098,0.02024747034,1.271190236,3.885034432,3.2455825,1.588329545,1.31005565,4.981556108,1.91278756,1.006350915,1.905605518,1.415198816,3.521142327,2.350928219,2.237037061,3.934451702
41,0.4761807113,0.1664810386,4.24193539,1,4.44850467,2.726793427,2.71011981,4.413302019,5,0.3071399021,4.315724892,0.7408799401,3.923288535,3.361023612,3.692179211,0.3124641305,1.828628172,0.1665288774,2.06496091,1.233873075,4.463490063,0.9987084969,0.08489193676,4.525165665,2.628214882
42,0.04694959684,3.74412692,0.7103237839,1,3.564720108,0.5606171765,1.920565573,1.831774748,5,2.575291584,4.709683849,2.276032848,2.99798441,1.670381568,3.101868941,1.449441828,3.764221266,2.37516614,2.047716628,1.953662081,3.522325657,4.466352607,1.30223333,1.739819294,4.479506829
43,0.9221605023,4.320621772,4.064485394,1,2.573958259,2.428191805,1.454780526,1.068874387,5,2.181990511,1.839067708,4.612050315,1.290878735,3.116213531,2.814598324,3.132513231,3.761713409,4.329579251,3.05448958,0.2814246484,1.195422625,1.822845415,3.969740923,3.994343193,3.482775199
44,0.7711599537,6.810313301,2.782665929,1,2.041517629,3.120566195,4.335771239,2.916475476,5,0.2795082388,2.289814231,2.389110484,1.532594344,3.565974389,3.318457882,0.9585550983,3.344793883,0.3481730664,2.682320219,2.265096178,0.7754562042,1.94472975,0.4245120043,0.3558166512,0.1871638983
45,0.7000909481,0.7411860967,2.173419979,1,2.458393382,0.7417840671,4.314600555,2.511968107,5,2.7548594,3.651961517,1.864278009,0.3942499296,0.8055607291,1.434557303,1.47894438,4.488040504,2.009738083,3.235082375,1.419148265,3.628091623,3.182705913,1.738719157,0.6979910093,4.001662453
46,0.4165751484,4.108046186,3.669827046,1,3.261816624,1.337572446,3.209445015,1.117857872,5,3.891268634,3.588048625,4.044840262,2.488116638,0.6368342739,0.1797511485,0.4060469763,2.716602773,1.969300809,3.197995433,1.383771972,2.200508576,3.165714492,3.422653217,4.590743769,1.237434962
47,0.2314524891,0.9746714577,0.8306141029,1,1.895983787,2.253501184,3.395245431,2.331703832,5,2.350804229,1.059529753,2.156254675,1.105103682,2.545704682,1.650996234,2.004963084,0.9083717429,0.3152159747,4.071471945,2.471104908,3.796632546,3.891878111,3.576164145,0.9897927611,0.6323109201
48,0.7534680578,7.616494388,4.001989606,1,2.584581753,1.864049371,0.5607522693,2.557205157,5,0.8239851163,3.645418854,4.935356693,2.664350154,3.829200046,0.207789659,1.439339075,2.945126426,1.409051814,0.1323199318,1.582487197,3.004042184,4.534828564,3.978597916,0.1768180545,1.86993143
49,0.2192547034,9.828048466,3.633563872,1,4.311137266,1.330934608,0.7958602129,4.20062675,5,1.844123099,3.123507466,2.380206366,4.600650161,2.009211528,1.408888421,4.242601884,4.464756008,3.86351097,4.877984241,1.864648994,4.321234996,3.646522042,1.457005073,0.3873086404,2.245647046
50,0.4077755493,8.985293098,0.6675189985,1,0.06156898473,2.106869595,2.889308396,0.9864115717,5,2.687172017,3.728460416,1.080484182,4.321920732,3.956193352,4.185631683,0.3410925482,2.381523808,3.760819282,0.9973828439,4.57374347,3.297333311,1.03655007,4.235227524,2.839766564,4.141942214
51,0.594992818,6.983048121,3.864916706,1,1.601754127,3.685283446,3.718664251,4.036502779,5,3.818431295,4.371592917,3.09040639,4.367749553,1.621916943,0.05294603178,4.169110093,2.182865589,2.203016203,1.618380102,4.034268257,0.6774231107,4.90292192,1.627482613,4.471577748,3.64607996
52,0.1934146147,8.861207913,4.590388474,1,4.157462585,1.907579962,2.493080822,0.8800709053,5,3.952025537,1.467715871,3.687558916,3.749269398,0.3015365052,3.123243935,2.954771424,2.645764586,1.938476896,1.824729088,3.864474276,2.171020862,3.847667921,2.507722705,2.488865323,1.457222898
53,0.9443684507,3.391980586,0.6565151656,1,4.037144566,3.782718797,2.723566039,0.3691921228,5,2.696693718,4.172957271,1.597382534,2.802510098,3.456861892,3.315212969,3.128474626,2.914830507,4.496544089,0.6981478288,2.691096855,1.951376941,0.6983044201,2.517558199,3.886388475,2.245426985
54,0.9452363084,9.923532458,2.15488377,1,1.602361229,1.889063558,0.7335620937,0.02526869332,5,1.01721301,4.277423602,0.5566100744,4.689793114,1.113324421,3.504385431,1.504938116,1.902978102,2.046943432,2.559771821,4.602252035,2.375247596,2.220705768,4.415121674,3.488674288,1.950364173
55,0.4755031967,9.892100701,1.871306221,1,2.082792893,0.05733808528,3.676371695,2.807390184,5,0.6435633495,2.190811399,2.666027022,1.835519816,1.335653191,3.868864535,0.43298324,1.72957761,3.901898113,3.303178837,3.104288758,1.96307886,1.427674409,4.19825748,1.276744314,1.575777985
56,0.189258316,8.291139729,0.2107251908,1,0.2623216845,3.50841034,2.697208417,3.729336471,5,2.438371697,3.598210937,4.852320544,0.5507718469,4.852776107,1.941373189,1.698503916,1.707789713,4.353208317,4.038132174,2.993884649,0.7224595029,1.126094099,1.728120237,0.8554482104,3.113050418
57,0.1793761865,9.711422751,3.018779614,1,3.071663815,1.38577457,2.467012327,1.591784793,5,1.476354778,1.361822708,3.396702053,1.237211766,1.671658452,3.103559795,1.426790247,2.207697013,3.900926753,4.799046646,1.516770258,0.4889041052,0.4015771717,0.8478561109,4.204802412,3.657082819
58,0.683080661,6.578947336,3.402039348,1,3.512967032,4.389555921,4.425337191,2.292668869,5,2.638949812,1.169030287,2.031273698,2.137239064,3.899980998,3.237772794,1.532266588,2.385736835,2.43347553,4.436395884,4.316566819,1.475273668,0.5291454252,2.754177307,1.888730197,2.222823068
59,0.3714046329,5.101545542,0.945887903,1,2.756938004,0.8659440459,3.886550418,0.2604996337,5,1.568742239,0.5241982305,1.164905478,2.613351223,1.422898541,1.742435661,2.027169028,1.772637145,3.20076968,0.165697325,2.941998825,1.41245891,0.3739076883,1.850385736,2.049173442,1.757965356
60,0.79643416,1.371039007,3.622741194,1,1.588942046,4.649316755,1.260027756,3.196734074,5,4.202477275,4.457596431,0.7970913035,0.0289988054,3.573916455,1.893168512,1.103032954,0.6960535793,0.1782705367,0.5630863878,4.277707539,3.985295363,2.813131101,3.321631821,1.427704375,0.1948265031
61,0.03081263022,7.79475366,3.631172639,1,4.218824985,1.213607967,1.372180921,3.522603314,5,1.985199054,3.673133989,2.608233849,1.607791995,0.2957151319,2.816538808,1.868161412,1.087566772,3.826626623,2.830012692,4.89635487,3.873519432,1.150052728,3.482655309,4.603570971,4.625952743
62,0.5915553589,3.329684957,2.487180523,1,2.02096793,2.673843493,4.862531467,0.7524392394,5,0.5573432716,1.99478659,0.5761097288,2.300893929,4.935145674,4.151290247,3.275870362,0.4670000729,4.676761831,2.451837368,4.306135405,3.238767417,4.755561038,4.127900903,1.343926885,4.388260603
63,0.521674181,2.571935701,2.378715255,1,4.441446937,2.242796047,3.209769001,3.697074857,5,0.8647909449,4.993986075,4.068534034,1.587117454,3.011267646,4.406557227,3.582427281,2.00368413,1.539867449,0.5783096895,2.477954138,1.843463588,0.6967626649,2.594247588,4.845152873,1.727064994
64,0.1580628409,3.568175037,4.799806547,1,3.778216889,4.849439533,2.537835624,3.159995448,5,1.157992543,1.805533504,0.03430945736,1.931619317,2.997431784,0.3681209611,0.6231567913,3.307439199,4.102488752,1.450486141,3.021687118,2.472919296,4.586945046,4.833086159,0.2316568219,1.830828077
65,0.4028709129,7.32945919,0.612294442,1,2.285836755,0.9501663108,1.353556697,3.017203269,5,0.4788382254,0.2679337998,3.689626893,1.516306422,3.051790965,4.349632076,0.4751321997,2.92535084,1.7222764,2.315388762,0.549364943,1.333375824,2.787357071,1.019255653,0.02138248546,1.663824168
66,0.5003899318,0.6811044648,4.5456768,1,2.525646776,2.755467278,1.782032497,3.920429609,5,2.997580358,0.4975046637,3.167488764,1.264429075,3.972965884,2.288483498,2.614768879,3.123594652,3.316608487,2.332925959,0.08237368126,4.837417421,1.178824251,1.212799583,2.421847203,0.8984334149
67,0.1459046226,3.688087266,2.438659035,1,2.051119051,4.777721478,3.240522623,4.791337177,5,1.844929709,2.998217578,0.4323527048,3.851041158,0.2065822207,2.764446474,2.70170251,1.702562634,1.668452797,2.197384616,1.389463734,4.517932453,3.368408707,4.527517867,4.514863724,0.5525749588
68,0.9514020202,8.255163463,1.042583103,1,1.355877076,1.144125427,3.548845598,0.886106423,5,2.766119005,3.153263282,3.019491818,1.286701047,1.762076614,1.499468104,3.583806839,1.458060076,0.1762491278,2.064002151,3.2517484,1.076103122,3.942758703,0.5391729658,3.266774528,0.02893684826
69,0.9773958124,1.59258078,1.140116611,1,3.405314279,1.109701954,1.878631596,1.745693834,5,1.294682554,1.031510005,3.572535712,3.903700494,1.38125626,0.0724525106,1.970354141,4.042454093,3.703750628,3.34165723,0.8970861524,2.142234244,3.344327027,4.103531201,0.6745073151,0.3810801659
70,0.4680007215,8.489503062,4.686206441,1,2.038340148,2.971816295,0.9020042724,3.471378915,5,1.207699835,0.7187109714,2.849096856,1.250316083,1.522363171,3.061468374,4.68163589,4.022489522,2.372273979,4.343569876,1.470183677,4.2360504,1.899449531,3.196405905,0.163203429,1.836237412
71,0.5606619576,4.360305483,4.806825328,1,4.075444998,0.9728273165,3.43812099,2.827231064,5,1.797504333,2.490986137,2.095568833,4.197597063,2.288430141,0.06689690412,1.989720532,4.797397034,3.402640794,4.72566897,4.432995284,0.4560974169,3.989768475,3.98797435,2.062814196,0.9592906733
72,0.1683362193,8.356471785,0.4759865764,1,2.773135039,1.822306864,1.228200922,1.396218068,5,0.1963071269,3.540625592,4.759516372,2.430125019,0.2174894156,1.990253362,4.492796524,3.822422321,4.863549877,3.269266414,2.012095689,0.5178390934,3.875576405,2.119529916,0.4999912502,3.505775566
73,0.4071041229,7.260742783,1.792526895,1,4.287344458,1.087360305,0.5154178212,4.616120405,5,1.048569924,3.265720549,3.673556492,1.046874254,1.652301489,0.2122439937,4.189055471,1.514555874,4.208157636,3.67374189,3.431876044,3.705178251,4.440177235,2.812847191,2.055414116,1.071756675
74,0.4013750365,6.556378597,3.978374518,1,4.374680498,2.238758452,1.481315066,0.9899595629,5,1.910993702,0.4823399627,1.313059658,1.23549339,2.158838943,1.717227932,1.529706721,4.031967536,1.667609546,1.666882993,0.2294184985,2.059880735,2.386686194,4.688150898,3.831322083,2.529292421
75,0.3579625756,0.6112801956,3.516341732,1,0.8405511586,4.770854169,2.940778871,2.168039168,5,3.575519407,1.96377562,3.315329272,3.805065782,0.6103206948,0.5308085543,2.298867948,3.07538337,1.061396019,4.219399333,3.585575737,2.593096629,1.729760936,3.96776934,2.960762497,0.4692140461
76,0.4442915183,2.295546865,0.01602419538,1,1.925489247,2.928891536,0.4157578649,2.426836353,5,0.8698400765,4.245508721,3.318164507,4.775214849,2.773439189,2.933765646,2.747350421,1.030267162,2.407480557,3.323921772,4.635643183,2.900858799,4.402155633,1.129705117,3.242640911,4.313052232
77,0.06068597545,5.380312445,1.108183545,1,0.7727800969,3.966181701,1.31192036,2.284307465,5,3.222404693,3.310522613,3.102295657,1.559139366,1.837220264,0.2651576058,1.917096974,3.696494136,0.9332515244,1.673438249,2.353786885,1.633926873,3.273713986,3.041239867,0.4037265034,3.857472082
78,0.4383843754,6.983185173,2.569584792,1,3.120852034,4.147141042,1.051631896,0.1405648127,5,1.803359845,1.207053621,1.840683316,1.607297129,2.921695891,2.826321819,3.990783856,3.476614777,3.801612201,1.460542642,0.09345831365,0.7411601131,1.500553661,0.6613166286,0.4492834442,0.5605432215
79,0.4576678321,5.875023982,0.3549617687,1,0.5197139951,4.667901559,2.533519493,0.6789896305,5,1.976673746,1.21423575,3.778277893,4.231535292,3.133052251,2.686497467,0.2518102205,1.666763513,0.9292356257,1.553819858,1.788064364,2.538688645,3.985528487,0.3540165638,4.563427643,0.5899616168
80,0.3775000023,2.543652095,1.749533546,1,4.611758653,2.114836156,1.756478811,4.115863613,5,4.690166224,0.006449767743,4.053060778,0.2636995068,2.764372157,3.832128184,3.847847825,3.895760855,1.37158633,1.920346988,4.00451034,4.783042356,0.5014784589,3.600858508,0.4573380206,3.381869313
81,0.05004189348,5.8930221,2.525794345,1,2.095385916,2.901713652,0.2814040174,0.3906965331,5,2.939104402,0.7108246841,1.041577984,3.142024048,1.468734128,1.471345399,2.455795023,1.948632403,3.510903443,1.100936739,3.726862174,1.649545415,4.916906348,0.6377445338,1.478041993,0.2104509338
82,0.2224402349,1.826925909,1.298507519,1,3.689932285,0.3925262307,2.090398827,1.2774784,5,1.22222003,1.005347137,0.994077445,1.160590862,0.3588403737,4.843964585,0.3636536715,1.341357883,2.387103585,4.352131599,1.737258067,3.67975574,2.297076592,3.534618534,0.1351241332,3.064700095
83,0.2528210014,5.025253506,0.6918240464,1,0.2204786979,4.894319317,4.073510919,1.765361769,5,2.349351554,1.399858163,2.713037948,0.7040274077,4.75917291,0.5899249429,3.80931057,3.741832825,3.270938877,3.446917548,3.728684018,4.456188354,3.271365819,0.2841733396,0.3602955276,2.766863891
84,0.5393280577,8.12814054,4.682538275,1,4.142481028,4.149022312,3.659095983,3.992255854,5,2.448416067,0.5080491176,2.821464792,2.324820421,2.221992052,1.62324521,1.073035901,4.378889,2.279144975,1.876817764,2.096631179,2.978624024,4.550047092,0.5725024059,3.25764853,1.305953145
85,0.9427628067,4.059640067,4.692935848,1,3.202842306,1.207189556,1.178420253,2.935219836,5,3.601030254,2.784039884,1.123432241,4.544388447,1.502711109,3.566668989,1.000819117,3.690592437,3.118154094,3.994658128,3.131089984,0.7333595448,3.315509089,2.100514323,3.118268067,1.196371496
86,0.3488199728,9.059816013,3.138300447,1,2.234584456,1.214092907,3.571864619,3.92038169,5,4.001318745,0.6496704958,4.056370746,1.57784952,3.106523605,1.853001845,4.616171826,1.908100508,3.942938357,2.638288814,3.668670505,0.8680057627,2.125173257,1.436539907,3.164453701,2.352664526
